049982 EDS20801|商务英语阅读与写作
000328 EDS20802|国际商务谈判与沟通
000430 EDS20803|成功学术的学习技巧
000431 EDS20804|审辩式分析
158201 EE10900|新生研讨课
158202 EE20000|电路原理（I-2）
158203 EE20100|模拟电子技术（Ⅱ）
128201 EE20140|模拟电子技术（Ⅲ）
000080 EE20190|半导体器件物理
158205 EE20320|电工电子学（Ⅰ-1）
158207 EE21001|计算机辅助电子电路分析
158002 EE21030|电路原理（Ⅱ）
158003 EE21040|电路原理（Ⅲ）
158209 EE21050|电路原理
319634 EE21060|电路原理（2）
319635 EE21160|模拟电子技术
358207 EE21180|数字化设计
158210 EE21300|电工学原理（Ⅰ）
158211 EE21310|电工学原理（Ⅱ）
158212 EE21350|电工电子学（Ⅱ）
158213 EE21360|电工电子学（Ⅲ）
158214 EE21370|电路及模拟电子技术
158215 EE22100|模拟电子技术实验（Ⅱ）
158216 EE22101|电子设计自动化实用技术
158220 EE30000|信号与系统（I）
158221 EE30001|电磁兼容及电磁环境保护（全英文）
158222 EE30010|信号与系统（II）
158223 EE30011|数字信号处理（Ⅱ）
358208 EE30020|工程电磁场
158224 EE30100|电子技术（I）
158225 EE30110|电子技术（II）
358209 EE30120|半导体器件
158233 EE30710|电力电子技术
158234 EE31200|自动控制原理（I）
158237 EE31210|单片机原理及其应用
000118 EE31230|自动控制原理
000112 EE31240|微控制器及其系统
158240 EE31400|电机学（1）
000111 EE31410|电机学
158251 EE32100|电子技术实验（I）
158252 EE32110|电子技术实验（II）
158253 EE34900|认识实习
000113 EE34920|认识实习
000114 EE35930|电气工程综合设计实验1
358210 EE40200|嵌入式系统设计
000307 EE40220|当代仪表与自动化
158256 EE40400|电机学
158257 EE40414|同步电机励磁控制
158258 EE40504|电力系统自动化
158259 EE40514|电力系统规划与可靠性
158260 EE40544|电力系统分析
158261 EE40604|电气设备绝缘在线监测
158262 EE40614|高压电器
158263 EE40624|电力系统污秽与覆冰绝缘（研讨课）
158264 EE40634|高电压技术
158265 EE40734|电能质量及控制
158266 EE40804|建筑智能化系统
158267 EE40814|电气安全（研讨课）
158268 EE40834|建筑通信及网络技术（研讨课）
000368 EE40906|电气工程典型案例分析
000369 EE40916|先进技术在电气工程中的应用
158269 EE41404|电机及其系统的仿真分析
158270 EE41424|风力发电技术（双语）
158271 EE41434|永磁电机
158272 EE41524|电力系统继电保护
158273 EE41534|电力系统稳定性分析
158274 EE41700|可再生能源中的电力电子技术
158275 EE41704|功率器件及应用
158276 EE41714|电力电子系统建模与仿真
158277 EE41724|电源技术
000198 EE41802|供配电与电气安全
158278 EE41824|建筑电气节能及新能源应用
000197 EE45920|电气工程综合设计实验3
049972 EGP20102|TED演讲听力
000464 EGP20103|新闻英语视听说
049975 EGP20201|陈述与沟通
049976 EGP20202|英语演讲
049984 EGP20401|主题英语写作
049985 EGP20402|批判性读与写
049986 EGP20601|英语诗歌欣赏
049987 EGP20602|英文小说赏析
049988 EGP20701|中国文化简介
049989 EGP20702|美国社会与文化入门
049990 EGP20703|希腊文明初探
049991 EGP20704|中美文化比较
000329 EGP20705|现代英国文化与社会
038209 EM10020|工程管理专业名著导读(2)
038211 EM10040|工程管理专业名著导读(4)
038004 EM10100|土木工程概论
038212 EM20101|建筑设备
038214 EM30001|工程伦理学
038215 EM30103|建筑工程施工技术（1）
038219 EM30304|工程项目管理（1）
038220 EM30305|建设工程合同管理（1）
038221 EM30308|建设工程项目融资
038222 EM30310|建设工程信息管理技术
